source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000009-L07_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	34	not applicable	blood plasma	PAD000009-r00034-L07_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-1-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	35	quality control sample	blood plasma	PAD000009-r00035-SC-1-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L08_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	36	not applicable	blood plasma	PAD000009-r00036-L08_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-1-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	37	quality control sample	blood plasma	PAD000009-r00037-SC-1-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L01_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	38	not applicable	blood plasma	PAD000009-r00038-L01_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L09_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	39	not applicable	blood plasma	PAD000009-r00039-L09_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-1-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	40	quality control sample	blood plasma	PAD000009-r00040-SC-1-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L02_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	41	not applicable	blood plasma	PAD000009-r00041-L02_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L10_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	42	not applicable	blood plasma	PAD000009-r00042-L10_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-1-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	43	plate control	blood plasma	PAD000009-r00043-PC-1-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L03_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	44	not applicable	blood plasma	PAD000009-r00044-L03_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L11_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	45	not applicable	blood plasma	PAD000009-r00045-L11_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-1-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	46	plate control	blood plasma	PAD000009-r00046-PC-1-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L04_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	47	not applicable	blood plasma	PAD000009-r00047-L04_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L12__NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	48	not applicable	blood plasma	PAD000009-r00048-L12__NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-1-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	49	plate control	blood plasma	PAD000009-r00049-PC-1-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L05_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	50	not applicable	blood plasma	PAD000009-r00050-L05_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-NC-1-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	51	negative control	blood plasma	PAD000009-r00051-NC-1-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-1-4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	52	plate control	blood plasma	PAD000009-r00052-PC-1-4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L06_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	53	not applicable	blood plasma	PAD000009-r00053-L06_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-NC-1-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	54	negative control	blood plasma	PAD000009-r00054-NC-1-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-PC-1-5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	55	plate control	blood plasma	PAD000009-r00055-PC-1-5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L14_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	1	not applicable	blood plasma	PAD000009-r00056-L14_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L22_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	2	not applicable	blood plasma	PAD000009-r00057-L22_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L30_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	3	not applicable	blood plasma	PAD000009-r00058-L30_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	4	quality control sample	blood plasma	PAD000009-r00059-SC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L15_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	5	not applicable	blood plasma	PAD000009-r00060-L15_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L23_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	6	not applicable	blood plasma	PAD000009-r00061-L23_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L31_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	7	not applicable	blood plasma	PAD000009-r00062-L31_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-2-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	8	quality control sample	blood plasma	PAD000009-r00063-SC-2-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L16_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	9	not applicable	blood plasma	PAD000009-r00064-L16_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L24_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	10	not applicable	blood plasma	PAD000009-r00065-L24_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L32_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	11	not applicable	blood plasma	PAD000009-r00066-L32_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-2-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	12	quality control sample	blood plasma	PAD000009-r00067-SC-2-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
